Student ID,Gender,Type of Examinee,Pre-assessment 2025,Anatomy,Physiology,Parasitology,Pharmacology,Pathology,Zootechnics,Microbiology & Public Health,Medicine,Surgery,Post-assessment 2025,Pre-assessment 2025_last,Anatomy_last,Physiology_last,Parasitology_last,Pharmacology_last,Pathology_last,Zootechnics_last,Microbiology & Public Health_last,Medicine_last,Surgery_last,Post-assessment 2025_last,Pre-assessment 2025_best,Anatomy_best,Physiology_best,Parasitology_best,Pharmacology_best,Pathology_best,Zootechnics_best,Microbiology & Public Health_best,Medicine_best,Surgery_best,Post-assessment 2025_best,avg_best_score,max_best_score,avg_first_score,avg_last_score,total_attempts,avg_attempts,avg_improvement,score_std,num_exams,Licensure Exam Result
Student 116,Female,First Taker,49,52,65,66,54,55,81,70,74,70,,49,52,65,66,54,55,81,70,87,70,,49,52,65,66,54,55,81,70,87,70,,64.9,87,63.6,64.9,11,1.1,1.3,12.63548794,10,1
Student 117,Female,First Taker,41,64,79,,,,,,,,,41,83,79,,,,,,,,,41,83,79,,,,,,,,,67.66666667,83,61.33333333,67.66666667,4,1.333333333,6.333333333,23.18045153,3,0
Student 118,Female,Repeater,43,40,,,,,,,,,,43,40,,,,,,,,,,43,40,,,,,,,,,,41.5,43,41.5,41.5,2,1,0,2.121320344,2,1
Student 119,Female,First Taker,33,50,64,58,49,49,63,72,69,,67,33,54,79,58,63,49,63,72,69,,67,33,54,79,58,63,49,63,72,69,,67,60.7,79,57.4,60.7,13,1.3,3.3,13.07287268,10,1
Student 120,Female,First Taker,56,83,91,79,78,72,76,84,96,88,83,56,83,91,79,78,72,76,84,96,88,83,56,83,91,79,78,72,76,84,96,88,83,80.54545455,96,80.54545455,80.54545455,11,1,0,10.64296609,11,1
Student 121,Female,First Taker,50,,,75,,60,,84,,76,,50,,,75,,60,,84,,76,,50,,,75,,60,,84,,76,,69,84,69,69,5,1,0,13.7113092,5,0
Student 122,Female,First Taker,34,64,70,60,59,51,83,67,69,76,78,34,64,70,60,59,51,83,67,69,76,78,34,64,70,60,59,51,83,67,69,76,78,64.63636364,83,64.63636364,64.63636364,11,1,0,13.69870598,11,1
Student 123,Female,Repeater,53,,,,,,,,,,,55,,,,,,,,,,,55,,,,,,,,,,,55,55,53,55,2,2,2,0,1,1
Student 124,Male,First Taker,37,49,57,,,,,,,,,80,49,57,,,,,,,,,80,49,57,,,,,,,,,62,80,47.66666667,62,5,1.666666667,14.33333333,16.09347694,3,0
Student 125,Male,First Taker,37,61,74,64,79,60,73,81,81,80,90,37,71,88,79,71,64,83,81,80,80,90,37,94,98,98,79,64,83,81,81,80,90,80.45454545,98,70.90909091,74.90909091,21,1.909090909,4,17.48921746,11,1
Student 126,Male,Repeater,31,,,,,,,,,,,31,,,,,,,,,,,31,,,,,,,,,,,31,31,31,31,1,1,0,0,1,0
Student 127,Female,First Taker,48,,,,,,,,,,,48,,,,,,,,,,,48,,,,,,,,,,,48,48,48,48,1,1,0,0,1,0
Student 128,Female,First Taker,85,88,,60,,84,65,,,84,82,51,100,,60,,84,99,,,94,74,100,100,,60,,84,100,,,94,100,91.14285714,100,78.28571429,80.28571429,26,3.714285714,2,14.96026483,7,1
Student 129,Female,Repeater,68,76,88,63,,,90,82,88,87,,68,87,87,63,,,90,82,88,87,,68,87,88,63,,,90,82,88,87,,81.625,90,80.25,81.5,10,1.25,1.25,10.29476288,8,1
Student 130,Male,,,57,,,,,,,,,,,57,,,,,,,,,,,57,,,,,,,,,,57,57,57,57,1,1,0,0,1,0
Student 131,Male,Repeater,56,81,85,91,87,91,90,93,94,94,85,85,81,85,91,87,91,85,93,94,94,85,100,81,85,91,87,91,90,93,94,94,85,90.09090909,100,86.09090909,88.27272727,14,1.272727273,2.181818182,5.318919918,11,1
Student 132,Female,,89,,,,,,,,,,,89,,,,,,,,,,,89,,,,,,,,,,,89,89,89,89,1,1,0,0,1,1
Student 133,,First Taker,37,30,58,,34,46,62,,,56,50,37,57,64,,34,49,62,,,68,50,37,57,65,,34,49,62,,,68,50,52.75,68,46.625,52.625,15,1.875,6,12.57832603,8,1
Student 134,Male,First Taker,60,61,76,77,61,50,66,77,83,72,62,71,92,93,87,93,73,95,96,91,90,62,71,100,93,87,93,86,95,96,91,90,62,87.63636364,100,67.72727273,85.72727273,45,4.090909091,18,11.35141161,11,1
Student 135,Female,Repeater,46,50,55,59,53,52,74,65,72,71,,39,50,55,59,53,52,74,65,72,71,,46,50,55,59,53,52,74,65,72,71,,59.7,74,59.7,59,11,1.1,-0.7,10.11105006,10,1
Student 136,Male,Repeater,41,54,39,24,26,32,25,27,15,21,65,24,56,76,24,26,53,25,27,15,21,33,65,92,76,24,26,53,25,27,15,21,65,44.45454545,92,33.54545455,34.54545455,25,2.272727273,1,26.51928972,11,1
Student 137,Male,Repeater,48,60,61,,,,61,,,,50,48,69,61,,,,99,,,,98,48,69,61,,,,99,,,,98,75,99,56,75,8,1.6,19,22.72663635,5,0
Student 138,Female,Repeater,38,50,53,45,43,47,55,47,71,59,,62,64,62,50,51,39,55,47,71,64,,62,64,62,50,51,47,55,47,71,64,,57.3,71,50.8,56.5,17,1.7,5.7,8.380532998,10,1
Student 139,Female,Repeater,33,,,,,,,,,,,33,,,,,,,,,,,33,,,,,,,,,,,33,33,33,33,1,1,0,0,1,0
Student 140,Male,Repeater,,40,,,,,,,,,,,40,,,,,,,,,,,40,,,,,,,,,,40,40,40,40,1,1,0,0,1,0
Student 141,Male,First Taker,,68,54,,,,,,,,,,66,85,,,,,,,,,,68,85,,,,,,,,,76.5,85,61,75.5,5,2.5,14.5,12.02081528,2,1
Student 142,Female,First Taker,38,,,,,,,,,,,38,,,,,,,,,,,38,,,,,,,,,,,38,38,38,38,1,1,0,0,1,1
Student 143,Female,Repeater,42,34,,,,,,27,36,47,,42,34,,,,,,27,36,47,,42,34,,,,,,27,36,47,,37.2,47,37.2,37.2,5,1,0,7.661592524,5,0
