Student ID,Gender,Type of Examinee,Pre-assessment 2025,Anatomy,Physiology,Parasitology,Pharmacology,Pathology,Zootechnics,Microbiology & Public Health,Medicine,Surgery,Post-assessment 2025,Pre-assessment 2025_last,Anatomy_last,Physiology_last,Parasitology_last,Pharmacology_last,Pathology_last,Zootechnics_last,Microbiology & Public Health_last,Medicine_last,Surgery_last,Post-assessment 2025_last,Pre-assessment 2025_best,Anatomy_best,Physiology_best,Parasitology_best,Pharmacology_best,Pathology_best,Zootechnics_best,Microbiology & Public Health_best,Medicine_best,Surgery_best,Post-assessment 2025_best,avg_best_score,max_best_score,avg_first_score,avg_last_score,total_attempts,avg_attempts,avg_improvement,score_std,num_exams,Licensure Exam Result,exam_coverage_ratio,best_minus_first,last_minus_first,best_minus_last,attempt_intensity,stability_index,score_range_proxy
Student 25,Female,Repeater,49.0,,,,,,,,,,,49.0,,,,,,,,,,,49.0,,,,,,,,,,,49.0,49,49.0,49.0,1,1.0,0.0,0.0,1,0,0.09090909090909091,0.0,0.0,0.0,1.0,1.0,0.0
Student 26,Female,First Taker,33.0,44.0,55.0,47.0,,,57.0,,,,,33.0,58.0,55.0,47.0,,,57.0,,,,,33.0,58.0,55.0,47.0,,,57.0,,,,,50.0,58,47.2,50.0,7,1.4,2.8,10.44030651,5,1,0.45454545454545453,2.799999999999997,2.799999999999997,0.0,1.4,0.08741024544455148,10.799999999999997
Student 27,Female,First Taker,56.0,60.0,69.0,,,,,,,,,56.0,60.0,69.0,,,,,,,,,56.0,60.0,69.0,,,,,,,,,61.66666667,69,61.66666667,61.66666667,3,1.0,0.0,6.658328118,3,1,0.2727272727272727,0.0,0.0,0.0,1.0,0.13057680274231362,7.333333330000002
Student 28,Female,Repeater,94.0,56.0,60.0,18.0,,,,,75.0,,56.0,94.0,56.0,90.0,94.0,,,,,75.0,,56.0,94.0,56.0,90.0,94.0,,,,,75.0,,56.0,77.5,94,59.83333333,77.5,9,1.5,17.66666667,18.06377591,6,1,0.5454545454545454,17.666666669999998,17.666666669999998,0.0,1.5,0.05245550538996028,34.16666667
Student 29,Female,First Taker,70.0,58.0,79.0,69.0,69.0,50.0,68.0,,,,89.0,85.0,85.0,79.0,69.0,78.0,75.0,68.0,,,,89.0,85.0,85.0,79.0,69.0,78.0,75.0,68.0,,,,89.0,78.5,89,69.0,78.5,14,1.75,9.5,7.634508123,8,1,0.7272727272727273,9.5,9.5,0.0,1.75,0.11581435627308866,20.0
Student 30,Female,Repeater,44.0,,,,,,,,,,,74.0,,,,,,,,,,,74.0,,,,,,,,,,,74.0,74,44.0,74.0,2,2.0,30.0,0.0,1,1,0.09090909090909091,30.0,30.0,0.0,2.0,1.0,30.0
Student 31,Female,,42.0,56.0,62.0,40.0,44.0,39.0,52.0,54.0,63.0,62.0,,51.0,56.0,62.0,40.0,44.0,94.0,97.0,96.0,63.0,78.0,,51.0,56.0,62.0,40.0,44.0,94.0,97.0,96.0,63.0,99.0,,70.2,99,51.4,68.1,18,1.8,16.7,23.72902583,10,1,0.9090909090909091,18.800000000000004,16.699999999999996,2.1000000000000085,1.8,0.04043830949405418,47.6
Student 32,Female,Repeater,,56.0,69.0,57.0,49.0,,,,,,,,56.0,69.0,57.0,49.0,,,,,,,,56.0,69.0,57.0,49.0,,,,,,,57.75,69,57.75,57.75,4,1.0,0.0,8.30160627,4,1,0.36363636363636365,0.0,0.0,0.0,1.0,0.10750831318513764,11.25
Student 33,Female,First Taker,51.0,61.0,,,,,66.0,,,,,91.0,64.0,,,,,66.0,,,,,91.0,64.0,,,,,66.0,,,,,73.66666667,91,59.33333333,73.66666667,5,1.666666667,14.33333333,15.0443788,3,1,0.2727272727272727,14.333333339999996,14.333333339999996,0.0,1.6666666666666667,0.06232712481208683,31.666666669999998
Student 34,Female,Repeater,52.0,42.0,58.0,61.0,46.0,56.0,65.0,56.0,72.0,63.0,83.0,94.0,65.0,70.0,77.0,82.0,74.0,92.0,85.0,91.0,83.0,83.0,98.0,84.0,83.0,87.0,82.0,86.0,92.0,85.0,91.0,86.0,83.0,87.0,98,59.45454545,81.45454545,51,4.636363636,22.0,4.837354649,11,1,1.0,27.545454550000002,22.0,5.545454550000002,4.636363636363637,0.17131047540024152,38.54545455
Student 35,Female,First Taker,41.0,63.0,84.0,71.0,68.0,66.0,79.0,77.0,80.0,78.0,,41.0,63.0,84.0,71.0,68.0,66.0,97.0,77.0,80.0,82.0,,41.0,63.0,84.0,71.0,68.0,66.0,97.0,77.0,80.0,98.0,,74.5,98,70.7,72.9,13,1.3,2.2,16.88687854,10,1,0.9090909090909091,3.799999999999997,2.200000000000003,1.5999999999999943,1.3,0.05590690392198526,27.299999999999997
Student 36,Female,First Taker,45.0,41.0,30.0,31.0,24.0,76.0,83.0,,,72.0,,30.0,75.0,85.0,31.0,24.0,76.0,83.0,,,72.0,,45.0,75.0,85.0,31.0,24.0,76.0,83.0,,,72.0,,61.375,85,50.25,59.5,12,1.5,9.25,24.27778232,8,1,0.7272727272727273,11.125,9.25,1.875,1.5,0.03956043245173416,34.75
Student 37,Female,Repeater,33.0,38.0,29.0,31.0,38.0,35.0,51.0,51.0,57.0,62.0,60.0,33.0,86.0,53.0,82.0,44.0,56.0,51.0,82.0,96.0,87.0,60.0,33.0,86.0,53.0,82.0,44.0,56.0,51.0,82.0,96.0,87.0,60.0,66.36363636,96,44.09090909,66.36363636,28,2.545454545,22.27272727,20.86754766,11,0,1.0,22.272727270000004,22.272727270000004,0.0,2.5454545454545454,0.04572986489148916,51.90909091
Student 38,Female,First Taker,37.0,45.0,58.0,55.0,,,,,,,,37.0,45.0,58.0,55.0,,,,,,,,37.0,45.0,58.0,55.0,,,,,,,,48.75,58,48.75,48.75,4,1.0,0.0,9.604686356,4,0,0.36363636363636365,0.0,0.0,0.0,1.0,0.09429793267145636,9.25
Student 39,Female,Repeater,31.0,49.0,7.0,,,,53.0,56.0,55.0,56.0,,31.0,49.0,7.0,,,,53.0,56.0,55.0,56.0,,31.0,49.0,7.0,,,,53.0,56.0,55.0,56.0,,43.85714286,56,43.85714286,43.85714286,7,1.0,0.0,18.49710402,7,0,0.6363636363636364,0.0,0.0,0.0,1.0,0.05128966840276416,12.142857139999997
Student 40,Female,First Taker,52.0,59.0,,,,,,,,,,52.0,71.0,,,,,,,,,,52.0,71.0,,,,,,,,,,61.5,71,55.5,61.5,3,1.5,6.0,13.43502884,2,1,0.18181818181818182,6.0,6.0,0.0,1.5,0.0692759267116227,15.5
Student 41,Male,First Taker,36.0,,,,,,,,,,,36.0,,,,,,,,,,,36.0,,,,,,,,,,,36.0,36,36.0,36.0,1,1.0,0.0,0.0,1,0,0.09090909090909091,0.0,0.0,0.0,1.0,1.0,0.0
Student 42,Male,Repeater,42.0,49.0,62.0,48.0,39.0,36.0,51.0,66.0,67.0,61.0,,100.0,75.0,91.0,79.0,80.0,89.0,100.0,96.0,98.0,80.0,,100.0,98.0,99.0,90.0,80.0,89.0,100.0,96.0,98.0,80.0,,93.0,100,52.1,88.8,27,2.7,36.7,7.859884082,10,1,0.9090909090909091,40.9,36.699999999999996,4.200000000000003,2.7,0.11286829384502098,47.9
Student 43,Female,Repeater,41.0,48.0,,,,,,,,,,41.0,56.0,,,,,,,,,,41.0,56.0,,,,,,,,,,48.5,56,44.5,48.5,3,1.5,4.0,10.60660172,2,1,0.18181818181818182,4.0,4.0,0.0,1.5,0.08615786292355003,11.5
Student 44,Female,Repeater,44.0,52.0,60.0,,,,,,,,,77.0,61.0,60.0,,,,,,,,,77.0,61.0,60.0,,,,,,,,,66.0,77,52.0,66.0,6,2.0,14.0,9.539392014,3,1,0.2727272727272727,14.0,14.0,0.0,2.0,0.09488213349229728,25.0
Student 45,Female,Repeater,30.0,44.0,59.0,,,,62.0,,,,,30.0,44.0,59.0,,,,62.0,,,,,30.0,44.0,59.0,,,,62.0,,,,,48.75,62,48.75,48.75,4,1.0,0.0,14.7732867,4,1,0.36363636363636365,0.0,0.0,0.0,1.0,0.06339832775625641,13.25
Student 46,Female,Repeater,,29.0,29.0,,,,49.0,,,,,,29.0,31.0,,,,28.0,,,,,,29.0,31.0,,,,49.0,,,,,36.33333333,49,35.66666667,29.33333333,5,1.666666667,-6.333333333,11.01514109,3,1,0.2727272727272727,0.6666666600000042,-6.333333339999999,7.0000000000000036,1.6666666666666667,0.08322831937714682,13.333333330000002
Student 47,Female,Repeater,46.0,47.0,,,,,,,,,,97.0,82.0,,,,,,,,,,97.0,82.0,,,,,,,,,,89.5,97,46.5,89.5,6,3.0,43.0,10.60660172,2,1,0.18181818181818182,43.0,43.0,0.0,3.0,0.08615786292355003,50.5
Student 48,Female,Repeater,48.0,44.0,55.0,47.0,,,62.0,52.0,,,,48.0,44.0,54.0,47.0,,,62.0,74.0,,,,48.0,44.0,55.0,47.0,,,62.0,74.0,,,,55.0,74,51.33333333,54.83333333,8,1.333333333,3.5,11.34900877,6,1,0.5454545454545454,3.666666669999998,3.5,0.1666666699999979,1.3333333333333333,0.08097815935067962,22.666666669999998
Student 49,Female,First Taker,19.0,47.0,54.0,51.0,50.0,49.0,68.0,54.0,64.0,58.0,,36.0,96.0,97.0,51.0,50.0,49.0,68.0,54.0,64.0,58.0,,36.0,96.0,97.0,51.0,50.0,49.0,68.0,54.0,64.0,58.0,,62.3,97,51.4,62.3,13,1.3,10.9,20.02803591,10,1,0.9090909090909091,10.899999999999999,10.899999999999999,0.0,1.3,0.04755555888719233,45.6
Student 50,Female,First Taker,51.0,60.0,58.0,57.0,60.0,51.0,69.0,62.0,68.0,70.0,62.0,98.0,70.0,76.0,62.0,73.0,61.0,85.0,71.0,75.0,70.0,62.0,98.0,97.0,96.0,62.0,100.0,61.0,98.0,71.0,96.0,70.0,62.0,82.81818182,100,60.72727273,73.0,29,2.636363636,12.27272727,17.18032702,11,1,1.0,22.090909090000004,12.272727269999997,9.818181820000007,2.6363636363636362,0.055004511134475735,39.27272727
Student 51,Female,First Taker,42.0,55.0,60.0,46.0,48.0,40.0,58.0,62.0,72.0,70.0,62.0,42.0,55.0,60.0,78.0,48.0,40.0,58.0,62.0,72.0,74.0,62.0,42.0,55.0,60.0,78.0,48.0,40.0,58.0,62.0,72.0,74.0,62.0,59.18181818,78,55.90909091,59.18181818,13,1.181818182,3.272727273,12.49654498,11,1,1.0,3.272727269999997,3.272727269999997,0.0,1.1818181818181819,0.07409303651281575,22.090909089999997
Student 52,Female,Repeater,,,,,,,,59.0,,,,,,,,,,,35.0,,,,,,,,,,,59.0,,,,59.0,59,59.0,35.0,2,2.0,-24.0,0.0,1,1,0.09090909090909091,0.0,-24.0,24.0,2.0,1.0,0.0
Student 53,Male,First Taker,33.0,47.0,63.0,54.0,,47.0,67.0,58.0,,34.0,,75.0,49.0,73.0,54.0,,47.0,67.0,58.0,,34.0,,75.0,49.0,73.0,54.0,,47.0,67.0,58.0,,34.0,,57.125,75,50.375,57.125,13,1.625,6.75,14.05537518,8,1,0.7272727272727273,6.75,6.75,0.0,1.625,0.0664214599798502,24.625
Student 54,Female,Repeater,57.0,61.0,76.0,60.0,57.0,53.0,65.0,61.0,70.0,62.0,57.0,99.0,61.0,76.0,60.0,57.0,53.0,65.0,61.0,70.0,62.0,57.0,99.0,61.0,76.0,60.0,57.0,53.0,65.0,61.0,70.0,62.0,57.0,65.54545455,99,61.72727273,65.54545455,12,1.090909091,3.818181818,12.79346424,11,1,1.0,3.8181818199999995,3.8181818199999995,0.0,1.0909090909090908,0.0724981036381039,37.27272727
Student 55,Male,First Taker,,36.0,,,,,66.0,,,,,,36.0,,,,,66.0,,,,,,36.0,,,,,66.0,,,,,51.0,66,51.0,51.0,2,1.0,0.0,21.21320344,2,0,0.18181818181818182,0.0,0.0,0.0,1.0,0.04501827044897402,15.0
Student 56,Male,First Taker,43.0,58.0,81.0,64.0,67.0,81.0,85.0,99.0,96.0,94.0,83.0,97.0,58.0,81.0,64.0,67.0,81.0,85.0,99.0,96.0,94.0,83.0,97.0,58.0,81.0,64.0,67.0,81.0,85.0,99.0,96.0,94.0,83.0,82.27272727,99,77.36363636,82.27272727,13,1.181818182,4.909090909,14.1073804,11,0,1.0,4.909090910000003,4.909090910000003,0.0,1.1818181818181819,0.06619281262024752,21.63636364
Student 57,Male,Repeater,40.0,32.0,,,,,,,,,46.0,40.0,32.0,,,,,,,,,46.0,40.0,32.0,,,,,,,,,46.0,39.33333333,46,39.33333333,39.33333333,3,1.0,0.0,7.023769169,3,1,0.2727272727272727,0.0,0.0,0.0,1.0,0.1246297069291974,6.666666669999998
Student 58,Female,Repeater,55.0,61.0,67.0,60.0,56.0,54.0,,,,,,64.0,61.0,67.0,60.0,56.0,54.0,,,,,,64.0,61.0,67.0,60.0,56.0,54.0,,,,,,60.33333333,67,58.83333333,60.33333333,7,1.166666667,1.5,4.844240567,6,1,0.5454545454545454,1.5,1.5,0.0,1.1666666666666667,0.17110863054587191,8.166666669999998
Student 59,Female,Repeater,44.0,50.0,53.0,39.0,46.0,55.0,42.0,55.0,58.0,39.0,,91.0,79.0,95.0,41.0,46.0,55.0,74.0,47.0,58.0,62.0,,98.0,91.0,95.0,82.0,46.0,55.0,74.0,55.0,58.0,64.0,,71.8,98,48.1,64.8,45,4.5,16.7,18.8077998,10,0,0.9090909090909091,23.699999999999996,16.699999999999996,7.0,4.5,0.0504851629205178,49.9
Student 60,Female,First Taker,38.0,56.0,67.0,47.0,52.0,48.0,71.0,63.0,67.0,,68.0,53.0,56.0,67.0,47.0,52.0,48.0,71.0,63.0,67.0,,68.0,53.0,56.0,67.0,47.0,52.0,48.0,71.0,63.0,67.0,,68.0,59.2,71,57.7,59.2,11,1.1,1.5,8.991353872,10,1,0.9090909090909091,1.5,1.5,0.0,1.1,0.10008653610021992,13.299999999999997
